"CodeC","NomC","PrenomC","RueC","CPC","VilleC","RegionC","CodeSoc"
1,"Henry","Élise","121 Allée Charles de Gaulle","92817","Limoges","Corse","70706267600394"
2,"Richard","Lucie","128 Avenue Victor Hugo","45112","Marseille","Bretagne","39932279113889"
3,"Pages","Noémie","34 Rue Molière","76303","Toulouse","Martinique","90905462481801"
4,"Michel","Sophie","13 Chemin Charles de Gaulle","43480","Limoges","Normandie","63360118796116"
5,"Richard","Laura","158 Route Charles de Gaulle","74897","Montpellier","Grand Est","30008636608116"
6,"Girard","Pierre","190 Rue Voltaire","71061","Angers","Provence-Alpes-Côte d’Azur","25974637506841"
7,"Andre","Céline","39 Impasse Jacques Brel","82253","Angers","Corse","79953879295629"
8,"Petit","Anne","75 Place Jean Moulin","10801","Caen","Corse","24497594662371"
9,"Robert","Maxime","87 Chemin Jacques Brel","55843","Nantes","Corse","72134841865843"
10,"Gonzalez","François","42 Chemin Voltaire","98842","Angers","La Réunion","72134841865843"
11,"Dupont","Isabelle","181 Boulevard Victor Schoelcher","23675","Toulouse","Normandie","57901367092483"
12,"Legrand","Laura","124 Allée Molière","27496","Orléans","La Réunion","47652995181804"
13,"Girard","Julien","156 Chemin Jacques Brel","97205","Saint-Étienne","Guyane","84214828874109"
14,"Lopez","Élise","27 Place Jean Moulin","17697","Reims","Guyane","90512422349210"
15,"Petit","Lucie","135 Quai Victor Schoelcher","87093","Rouen","Guadeloupe","39932279113889"
16,"Simon","Manon","161 Allée Jacques Brel","15792","Paris","Hauts-de-France","10767710603566"
17,"Henry","Antoine","20 Quai Charles de Gaulle","16061","Le Havre","Hauts-de-France","98754787968658"
18,"Brun","Sophie","108 Quai Voltaire","23302","Paris","Corse","70764427420396"
19,"Gautier","Lucie","185 Avenue Louis Pasteur","78682","Dijon","Grand Est","61488919418993"
20,"Dupont","Noémie","130 Boulevard Jean Jaurès","81415","Clermont-Ferrand","Mayotte","79022264966980"
21,"Brun","Chloé","120 Quai Jacques Brel","57517","Toulouse","Île-de-France","48104103668229"
22,"Marchand","Manon","129 Impasse Victor Hugo","14173","Dijon","Grand Est","93014776249193"
23,"Richard","Noémie","57 Route Louis Pasteur","30282","Orléans","Pays de la Loire","20281556746449"
24,"Muller","Élise","165 Impasse Louis Pasteur","54161","Dijon","La Réunion","31999680299809"
25,"Marchand","Marie","81 Route Louis Pasteur","87462","Clermont-Ferrand","Île-de-France","48379169945621"
26,"Girard","Nathalie","63 Chemin Victor Schoelcher","73465","Clermont-Ferrand","Occitanie","15876428665752"
27,"Moreau","Nathalie","117 Rue Jean Jaurès","41792","Metz","Bretagne","90512422349210"
28,"Henry","Nicolas","6 Avenue Voltaire","49899","Strasbourg","Bretagne","05773163223646"
29,"Durand","Nicolas","11 Boulevard Molière","46274","Angers","Guadeloupe","65120453634252"
30,"Legrand","Julie","72 Route Charles de Gaulle","89293","Clermont-Ferrand","Centre-Val de Loire","70949576398463"
31,"Simon","Noémie","138 Chemin Voltaire","59972","Metz","Auvergne-Rhône-Alpes","75391545081117"
32,"Blanc","Pauline","152 Impasse Louis Pasteur","39551","Metz","Mayotte","09928280626060"
33,"Bernard","Amélie","147 Boulevard Jean Jaurès","89269","Caen","Occitanie",""
34,"Lopez","Noémie","87 Place Victor Hugo","32091","Strasbourg","Bretagne",""
35,"Legrand","Anne","122 Allée Voltaire","98881","Montpellier","Occitanie","21584438942957"
36,"Caron","Manon","161 Chemin Molière","45326","Lille","Île-de-France","46273068990998"
37,"Dupont","Camille","114 Route Louis Pasteur","51860","Saint-Étienne","Bretagne","73249922695812"
38,"Lopez","François","137 Place Louis Pasteur","56426","Orléans","Grand Est","90905462481801"
39,"Bernard","Claire","51 Boulevard Jean Moulin","86535","Lille","Provence-Alpes-Côte d’Azur","79953879295629"
40,"Marchand","Nicolas","78 Rue Charles de Gaulle","95251","Nantes","Corse","31999680299809"
41,"Lefebvre","François","143 Place Jean Jaurès","24890","Saint-Étienne","Centre-Val de Loire","37458200692544"
42,"Roux","Camille","109 Avenue Molière","72308","Montpellier","Mayotte","70764427420396"
43,"Caron","Céline","190 Rue Louis Pasteur","51667","Limoges","Île-de-France","01932040227152"
44,"Legrand","Léa","179 Quai Louis Pasteur","11743","Rouen","La Réunion","67657098626032"
45,"Girard","Julien","193 Quai Charles de Gaulle","89668","Grenoble","Normandie",""
46,"Legrand","Claire","187 Boulevard Voltaire","71760","Saint-Étienne","Pays de la Loire","32417993074568"
47,"Roux","Céline","26 Impasse Louis Pasteur","26326","Reims","Bourgogne-Franche-Comté","57525157807075"
48,"Caron","Élise","42 Place Charles de Gaulle","28463","Strasbourg","Bretagne","57974068550358"
49,"Petit","Claire","113 Allée Charles de Gaulle","44959","Rouen","Mayotte","29594322758489"
50,"Roux","Camille","42 Rue Voltaire","37406","Strasbourg","Guyane","36566521787352"
51,"Brun","Pierre","15 Avenue Victor Schoelcher","48653","Nantes","Guadeloupe","13858565243239"
52,"Caron","Amélie","182 Route Victor Hugo","49819","Saint-Étienne","Île-de-France","43291734827172"
53,"Andre","Julie","139 Impasse Victor Hugo","29535","Dijon","Bretagne","15876428665752"
54,"Gonzalez","Camille","119 Impasse Victor Schoelcher","14723","Toulouse","Pays de la Loire","37458200692544"
55,"Marchand","Pierre","175 Quai Victor Hugo","90530","Angers","Guadeloupe","76501921255004"
56,"Henry","Paul","122 Route Jacques Brel","64808","Orléans","Provence-Alpes-Côte d’Azur","30604422487356"
57,"Fournier","Amandine","200 Rue Louis Pasteur","38035","Reims","Normandie","49529971050397"
58,"Fournier","Amélie","150 Impasse Jacques Brel","39504","Nancy","Bourgogne-Franche-Comté","72134841865843"
59,"Muller","Julie","150 Avenue Jean Jaurès","23699","Nancy","Normandie","73249922695812"
60,"Moreau","Paul","29 Place Voltaire","21298","Lille","Occitanie","17801775122923"
61,"Blanc","Pauline","28 Chemin Victor Schoelcher","93067","Nîmes","Bourgogne-Franche-Comté","97183284872941"
62,"Robert","Nathalie","61 Allée Victor Schoelcher","96852","Reims","Occitanie","09928280626060"
63,"Dupont","Marie","14 Impasse Molière","83002","Lyon","Occitanie","29594322758489"
64,"Gonzalez","Marie","113 Impasse Jacques Brel","62336","Mulhouse","Grand Est","75391545081117"
65,"Pages","Céline","68 Allée Louis Pasteur","10416","Nîmes","La Réunion","06392361108712"
66,"Garcia","Marie","48 Impasse Molière","47578","Rouen","Occitanie","24497594662371"
67,"Guerin","Élise","200 Boulevard Molière","55747","Amiens","Provence-Alpes-Côte d’Azur","54710810708539"
68,"Gautier","Julie","124 Allée Charles de Gaulle","26336","Angers","Grand Est","14594070227128"
69,"Nguyen","Isabelle","150 Place Jacques Brel","12752","Nice","Pays de la Loire","32417993074568"
70,"Bernard","Pauline","48 Rue Voltaire","39738","Marseille","Normandie","46959993123437"
71,"Robert","Emma","127 Impasse Molière","96307","Marseille","Centre-Val de Loire","04846800816874"
72,"Richard","Anne","138 Place Voltaire","59643","Strasbourg","Normandie","31645645939757"
73,"Richard","Pauline","130 Place Voltaire","53776","Bordeaux","La Réunion","00364796615610"
74,"Roux","Amélie","195 Route Charles de Gaulle","34495","Nantes","Hauts-de-France","05715048149270"
75,"Nguyen","Léa","140 Place Voltaire","80879","Toulon","Guadeloupe","57779834074536"
76,"Guerin","Amélie","10 Route Louis Pasteur","43360","Saint-Étienne","Guadeloupe","24993539596049"
77,"Petit","Isabelle","188 Allée Victor Schoelcher","71350","Orléans","Nouvelle-Aquitaine","54710810708539"
78,"Guerin","Julie","184 Quai Victor Hugo","88289","Marseille","Auvergne-Rhône-Alpes","60987759179069"
79,"Lefebvre","Manon","97 Rue Jacques Brel","71210","Angers","Pays de la Loire","43291734827172"
80,"Brun","Amandine","121 Chemin Molière","64053","Nantes","Provence-Alpes-Côte d’Azur","59717788713705"
81,"Guerin","Nicolas","164 Route Victor Schoelcher","22535","Limoges","Grand Est","31645645939757"
82,"Andre","Élise","83 Allée Charles de Gaulle","35672","Rouen","Guyane","90905462481801"
83,"Robert","Sophie","51 Boulevard Victor Hugo","57813","Nîmes","Grand Est","81733609671726"
84,"Marchand","Chloé","127 Chemin Jacques Brel","77619","Mulhouse","La Réunion","76501921255004"
85,"Legrand","Nicolas","151 Quai Molière","21199","Dijon","Centre-Val de Loire","93564193410356"
86,"Nguyen","Nathalie","194 Rue Victor Schoelcher","11823","Orléans","Grand Est","21584438942957"
87,"Dupont","Emma","10 Chemin Jacques Brel","39444","Marseille","Corse","19503484523074"
88,"Muller","Manon","1 Route Charles de Gaulle","29637","Saint-Étienne","Nouvelle-Aquitaine","14594070227128"
89,"Fournier","Amandine","70 Place Victor Hugo","82420","Saint-Étienne","Pays de la Loire","96464005383083"
90,"Girard","Léa","173 Route Jacques Brel","75796","Montpellier","Martinique","93014776249193"
91,"Michel","Jean","19 Boulevard Jean Moulin","67846","Clermont-Ferrand","Grand Est","29594322758489"
